audit_id,relation,predicate_label,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,decision_basis,notes,reviewer_id,reviewed_at
PV-0001,vase --standing on--> ceiling,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.ply,physically_invalid,medium,contact_or_support_missing,true,evidence_only_visual_adjudication,visible pair geometry does not support the stated ceiling contact/support configuration,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0002,fireplace --standing on--> decoration,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0003,floor --lower than--> wall,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0004,pillow --lying on--> floor,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0005,telephone --supported by--> heater,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0006,coffee table --close by--> plant,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.ply,physically_invalid,high,distance_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0007,lamp --lower than--> toilet paper dispenser,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.ply,physically_invalid,high,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0008,wardrobe --standing on--> floor,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0009,vase --standing on--> ceiling,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.ply,physically_invalid,medium,contact_or_support_missing,true,evidence_only_visual_adjudication,visible pair geometry does not support the stated ceiling contact/support configuration,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0010,jar --standing on--> stove,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.ply,physically_invalid,medium,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0011,item --higher than--> kitchen appliance,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.ply,physically_valid,high,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0012,shower curtain --higher than--> ceiling,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.ply,physically_invalid,high,vertical_order_inconsistent,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0013,floor --lower than--> pillow,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0014,box --standing on--> wall,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0014.ply,physically_valid,medium,geometry_supports_relation,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0015,shelf --standing on--> commode,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0015.ply,physically_invalid,high,contact_or_support_missing,true,exact_two_pass_agreement,Both independently locked Codex blind passes selected the same four-class label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0016,sofa --standing on--> plate,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.ply,physically_invalid,medium,contact_or_support_missing,true,evidence_only_visual_adjudication,the sofa is not supported by the small plate instance in the visible geometry,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0017,pillow --standing on--> pillow,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0018,plant --supported by--> floor,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.ply,ambiguous,low,predicate_semantically_underspecified,true,evidence_only_visual_adjudication,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
