gate,passed,reason
primary_point_K5,True,"delta_recall=0.005669, delta_violation=-0.006937"
primary_ci_K5,False,"recall_CI=[-0.006347,0.017863], violation_CI=[-0.009130,-0.004834]"
primary_point_K10,True,"delta_recall=0.015873, delta_violation=-0.008769"
primary_ci_K10,True,"recall_CI=[0.000971,0.031462], violation_CI=[-0.010635,-0.006850]"
primary_point_K20,True,"delta_recall=0.021542, delta_violation=-0.010512"
primary_ci_K20,True,"recall_CI=[0.002312,0.042037], violation_CI=[-0.012193,-0.008920]"
primary_point_K50,True,"delta_recall=0.007937, delta_violation=-0.014035"
primary_ci_K50,False,"recall_CI=[-0.004322,0.021306], violation_CI=[-0.015485,-0.012709]"
family_no_violation_regression_K5_50,False,violation_regression_cells=5
family_no_double_regression_K5_50,False,double_regression_cells=1
main_score_promotion,False,"candidate has positive aggregate signal, but family-wise violation regressions block replacing the current main score"
