audit_id,relation,predicate_family,geometry_projection_path,pass_v1_label,pass_v2_label,triggers,adjudicated_label,adjudication_reason,adjudicator_id,adjudicated_at
PV-0001,vase --standing on--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,visible pair geometry does not support the stated ceiling contact/support configuration,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0002,fireplace --standing on--> decoration,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0004,pillow --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0005,telephone --supported by--> heater,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0009,vase --standing on--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,physically_invalid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,physically_invalid,visible pair geometry does not support the stated ceiling contact/support configuration,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0016,sofa --standing on--> plate,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0016.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,physically_invalid,the sofa is not supported by the small plate instance in the visible geometry,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0017,pillow --standing on--> pillow,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0017.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0018,plant --supported by--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0018.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0019,pillow --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,physically_valid,ambiguous,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,floor contact is plausible but the standing-versus-lying pose subtype is not resolved,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0022,cabinet --higher than--> shelf,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,ambiguous,physically_invalid,label_disagreement;low_confidence;ambiguous_or_unobservable,ambiguous,the vertical extents overlap and do not yield a stable instance-level higher-than judgment,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0023,wall --standing on--> player,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0023.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0034,floor --higher than--> shower floor,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0034.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
PV-0039,decoration --standing on--> wall,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0039.png,ambiguous,ambiguous,low_confidence;ambiguous_or_unobservable,ambiguous,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,codex_blinded_proxy_adjudication_v1,2026-07-14T09:16:38.026072+00:00
