split,field,value,rows
train,observability_label,ambiguous_evidence,4868
train,observability_label,observable_clear,4868
train,observability_label,unobservable_missing_evidence,4868
eval,observability_label,ambiguous_evidence,126
eval,observability_label,observable_clear,135
eval,observability_label,unobservable_missing_evidence,4
all,q_e_state_v2_hidden,ambiguous,2569
all,q_e_state_v2_hidden,limited,2425
all,q_e_state_v2_hidden,missing,4872
all,q_e_state_v2_hidden,sufficient,5003
all,label_provenance,internal_train_control_or_observed_original_not_official_eval_label,14604
all,label_provenance,"user-confirmed Codex-filled audit labels; Q_e v2 state computed from audit proxy, not paper-level GT",265
