audit_id,relation,predicate_label,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,notes,reviewer_id,reviewed_at
PV-0404,chair --close by--> box,close by,proximity,local_dataset/qwen_vl_crops/full_validation/9766cbf7-6321-2e2f-81e1-2b46533c64dd_4/32_42/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0404.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0404.ply,,,,,,,
PV-0175,floor --higher than--> lamp,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/ea318260-0a4c-2749-9389-4c16c782c4b1_6/1_7/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0175.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0175.ply,,,,,,,
PV-0302,chair --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/c2d99341-1947-2fbf-817a-5aa9b44f724f_1/23_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0302.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0302.ply,,,,,,,
PV-0219,chair --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/c7895f07-339c-2d13-8176-7418b6e8d7ce_2/11_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0219.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0219.ply,,,,,,,
PV-0024,ceiling --standing on--> kettle,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0024.ply,,,,,,,
PV-0160,screen --higher than--> coffee table,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0160.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0160.ply,,,,,,,
PV-0361,shower wall --supported by--> lamp,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0361.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0361.ply,,,,,,,
PV-0242,object --higher than--> couch,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0242.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0242.ply,,,,,,,
PV-0379,decoration --supported by--> cabinet,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0379.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0379.ply,,,,,,,
PV-0468,chair --close by--> chair,close by,proximity,local_dataset/qwen_vl_crops/full_validation/0cac7532-8d6f-2d13-8cea-1e70d5ae4856_2/10_11/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0468.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0468.ply,,,,,,,
PV-0439,shelf --standing on--> shower wall,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/c7895f7a-339c-2d13-82ac-09ef1c9001ba_4/6_2/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0439.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0439.ply,,,,,,,
PV-0062,box --close by--> chair,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0062.ply,,,,,,,
PV-0141,chair --supported by--> table lamp,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/0988ea72-eb32-2e61-8344-99e2283c2728_2/34_36/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0141.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0141.ply,,,,,,,
PV-0480,wall --close by--> wall,close by,proximity,local_dataset/qwen_vl_crops/full_validation/ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64_5/17_13/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0480.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0480.ply,,,,,,,
PV-0474,object --lying on--> ceiling,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0474.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0474.ply,,,,,,,
PV-0192,pillow --lying on--> floor,lying on,support_contact,local_dataset/qwen_vl_crops/full_validation/0cac75b7-8d6f-2d13-8cb2-0b4e06913140_4/54_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0192.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0192.ply,,,,,,,
PV-0066,floor --standing on--> wall,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/6bde6083-9162-246f-8c9c-e170212059b2_2/1_3/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0066.ply,,,,,,,
PV-0180,floor --standing on--> wall,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1_4/1_2/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0180.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0180.ply,,,,,,,
PV-0486,kettle --standing on--> pipe,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0486.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0486.ply,,,,,,,
PV-0021,sink --close by--> wall,close by,proximity,local_dataset/qwen_vl_crops/full_validation/41385849-a238-2435-81d0-ceb0eba4541a_5/81_70/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0021.ply,,,,,,,
PV-0488,plant --lying on--> decoration,lying on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0488.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0488.ply,,,,,,,
PV-0048,wall --standing on--> cupboard,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/4fbad31e-465b-2a5d-84b7-c0ddea978db4_6/8_7/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0048.ply,,,,,,,
PV-0467,ceiling --standing on--> blanket,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0467.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0467.ply,,,,,,,
PV-0392,chair --higher than--> wall,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0392.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0392.ply,,,,,,,
PV-0465,frame --standing on--> clutter,standing on,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0465.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0465.ply,,,,,,,
PV-0384,wall --higher than--> box,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0384.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0384.ply,,,,,,,
PV-0223,floor --higher than--> ottoman,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/095821fb-e2c2-2de1-94df-20f2cb423bcb_1/1_6/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0223.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0223.ply,,,,,,,
PV-0283,wall --supported by--> pillow,supported by,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0283.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0283.ply,,,,,,,
PV-0317,wall --close by--> plant,close by,proximity,local_dataset/qwen_vl_crops/full_validation/5341b7e3-8a66-2cdd-8709-66a2159f0017_1/12_26/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0317.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0317.ply,,,,,,,
PV-0382,item --higher than--> shelf,higher than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0382.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0382.ply,,,,,,,
PV-0256,wall --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/0cac75dc-8d6f-2d13-8d08-9c497bd6acdc_1/14_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0256.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0256.ply,,,,,,,
PV-0373,shelf --lower than--> shelf,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/0cac761b-8d6f-2d13-8f16-23a7d73c54fe_1/9_4/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0373.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0373.ply,,,,,,,
PV-0112,pillow --lower than--> pillow,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0112.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0112.ply,,,,,,,
PV-0318,box --higher than--> coffee machine,higher than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/38770ca5-86d7-27b8-871c-57fdbfe87905_7/66_67/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0318.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0318.ply,,,,,,,
PV-0299,cupboard --close by--> floor,close by,proximity,local_dataset/qwen_vl_crops/full_validation/4fbad32f-465b-2a5d-8408-146ab1d72808_5/7_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0299.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0299.ply,,,,,,,
PV-0190,wall --close by--> floor,close by,proximity,local_dataset/qwen_vl_crops/full_validation/c7895f29-339c-2d13-83e9-90dbe61fa8be_4/24_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0190.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0190.ply,,,,,,,
