audit_id,relation,predicate_label,predicate_family,geometry_projection_path,rgb_pair_crop_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,notes,reviewer_id,reviewed_at
PV-0001,vase --standing on--> ceiling,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,local_dataset/qwen_vl_crops/full_validation/7747a50c-9431-24e8-877d-e60c3a341cc2_1/70_29/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.2812;bbox_gap_norm=0.3111;xy_bbox_gap_norm=0.2606;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.3864;surface_p10_norm=0.4096;subject_vertical_aspect=1.1482;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.590275+00:00
PV-0002,fireplace --standing on--> decoration,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.png,local_dataset/qwen_vl_crops/full_validation/280d8ebb-6cc6-2788-9153-98959a2da801_3/18_53/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.5029;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=-0.9938;surface_p02_norm=0.0000;surface_p10_norm=0.0147;subject_vertical_aspect=1.7221;local_object_points=582,codex_blinded_rereview_v2,2026-07-10T07:14:51.596948+00:00
PV-0003,floor --lower than--> wall,lower than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.png,local_dataset/qwen_vl_crops/full_validation/d7d40d50-7a5d-2b36-9446-7d636174329f_1/2_5/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.ply,physically_valid,medium,moderate_directed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=-0.2003;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.5191;support_gap_norm=-0.4213;surface_p02_norm=0.0110;surface_p10_norm=0.0423;subject_vertical_aspect=0.0829;local_object_points=1007,codex_blinded_rereview_v2,2026-07-10T07:14:51.604045+00:00
PV-0004,pillow --lying on--> floor,lying on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.png,local_dataset/qwen_vl_crops/full_validation/10b1792a-3938-2467-8b4e-a93da27a0985_5/37_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.ply,ambiguous,low,lying_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=0.1585;bbox_gap_norm=0.0906;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=None;surface_p02_norm=0.1377;surface_p10_norm=0.1710;subject_vertical_aspect=0.5577;local_object_points=2,codex_blinded_rereview_v2,2026-07-10T07:14:51.607429+00:00
PV-0005,telephone --supported by--> heater,supported by,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.png,local_dataset/qwen_vl_crops/full_validation/9af05c68-5794-2e19-8c5a-979f448da545_4/43_14/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.ply,ambiguous,low,support_surface_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=0.3716;bbox_gap_norm=0.1327;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;support_gap_norm=None;surface_p02_norm=0.2707;surface_p10_norm=0.3394;subject_vertical_aspect=0.5999;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.613501+00:00
PV-0006,coffee table --close by--> plant,close by,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.ply,physically_invalid,high,large_relative_separation,True,codex_blinded_rereview_v2:center_dz_norm=-1.6079;bbox_gap_norm=1.8739;xy_bbox_gap_norm=1.4526;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=2.2185;surface_p10_norm=2.2686;subject_vertical_aspect=0.8518;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.615000+00:00
PV-0007,lamp --lower than--> toilet paper dispenser,lower than,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.png,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.ply,physically_invalid,high,clear_reversed_vertical_order,True,codex_blinded_rereview_v2:center_dz_norm=4.2379;bbox_gap_norm=3.9352;xy_bbox_gap_norm=0.6663;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=4.1021;surface_p10_norm=4.1440;subject_vertical_aspect=0.4486;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.615748+00:00
PV-0008,wardrobe --standing on--> floor,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.png,local_dataset/qwen_vl_crops/full_validation/0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_5/4_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.ply,physically_valid,high,contact_with_upright_pose,True,codex_blinded_rereview_v2:center_dz_norm=0.2286;bbox_gap_norm=0.0000;xy_bbox_gap_norm=0.0000;xy_overlap_ratio=0.7369;support_gap_norm=-0.0083;surface_p02_norm=0.0055;surface_p10_norm=0.0159;subject_vertical_aspect=0.6631;local_object_points=284,codex_blinded_rereview_v2,2026-07-10T07:14:51.623530+00:00
PV-0009,vase --standing on--> ceiling,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,local_dataset/qwen_vl_crops/full_validation/7747a4ec-9431-24e8-848f-897279a1e9fe_1/70_29/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.ply,ambiguous,low,standing_pose_or_contact_unclear,True,codex_blinded_rereview_v2:center_dz_norm=-0.3004;bbox_gap_norm=0.2905;xy_bbox_gap_norm=0.2402;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.3780;surface_p10_norm=0.3927;subject_vertical_aspect=1.1113;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.624620+00:00
PV-0010,jar --standing on--> stove,standing on,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.png,local_dataset/qwen_vl_crops/full_validation/4a9a43d2-7736-2874-874d-d0fad0570e19_2/48_47/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.ply,physically_invalid,medium,standing_support_absent,True,codex_blinded_rereview_v2:center_dz_norm=0.6346;bbox_gap_norm=0.7046;xy_bbox_gap_norm=0.6864;xy_overlap_ratio=0.0000;support_gap_norm=None;surface_p02_norm=0.8160;surface_p10_norm=0.9713;subject_vertical_aspect=1.8019;local_object_points=0,codex_blinded_rereview_v2,2026-07-10T07:14:51.626913+00:00
