audit_id,relation,predicate_label,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,physical_validity_label,confidence,primary_reason_code,evidence_sufficient,notes,reviewer_id,reviewed_at
PV-0001,vase --standing on--> ceiling,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/7747a50c-9431-24e8-877d-e60c3a341cc2_1/70_29/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.ply,physically_invalid,medium,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=-0.2907;bbox_gap_norm=0.3385;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.1270;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.768016+00:00
PV-0002,fireplace --standing on--> decoration,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/280d8ebb-6cc6-2788-9153-98959a2da801_3/18_53/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:standing_contact_or_pose_uncertain;center_dz_norm=-0.5761;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-1.0680;subject_vertical_aspect=1.7004;local_object_points=582,codex_blinded_proxy_v1,2026-07-10T06:52:58.770085+00:00
PV-0003,floor --lower than--> wall,lower than,relative_vertical,local_dataset/qwen_vl_crops/full_validation/d7d40d50-7a5d-2b36-9446-7d636174329f_1/2_5/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.ply,physically_valid,medium,vertical_order_consistent,True,codex_blinded_proxy:directed_center_height_margin_ge_0.18;center_dz_norm=-0.2200;bbox_gap_norm=0.0000;xy_overlap_ratio=0.3475;local_vertical_gap_norm=-0.4568;subject_vertical_aspect=0.0647;local_object_points=733,codex_blinded_proxy_v1,2026-07-10T06:52:58.772768+00:00
PV-0004,pillow --lying on--> floor,lying on,support_contact,local_dataset/qwen_vl_crops/full_validation/10b1792a-3938-2467-8b4e-a93da27a0985_5/37_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.ply,ambiguous,low,pose_subtype_uncertain,True,codex_blinded_proxy:lying_contact_or_pose_uncertain;center_dz_norm=0.1733;bbox_gap_norm=0.1148;xy_overlap_ratio=1.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.5621;local_object_points=7,codex_blinded_proxy_v1,2026-07-10T06:52:58.774479+00:00
PV-0005,telephone --supported by--> heater,supported by,support_contact,local_dataset/qwen_vl_crops/full_validation/9af05c68-5794-2e19-8c5a-979f448da545_4/43_14/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.ply,ambiguous,low,support_configuration_uncertain,True,codex_blinded_proxy:contact_band_or_footprint_uncertain;center_dz_norm=0.3886;bbox_gap_norm=0.1521;xy_overlap_ratio=1.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.5388;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.775874+00:00
PV-0006,coffee table --close by--> plant,close by,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.ply,physically_invalid,high,distance_inconsistent,True,codex_blinded_proxy:robust_bbox_gap_norm_ge_1.00;center_dz_norm=-1.8020;bbox_gap_norm=2.1728;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.0190;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.776454+00:00
PV-0007,lamp --lower than--> toilet paper dispenser,lower than,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.ply,physically_invalid,high,vertical_order_inconsistent,True,codex_blinded_proxy:directed_center_height_reversed_le_-0.40;center_dz_norm=4.6537;bbox_gap_norm=4.3537;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.4734;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.776923+00:00
PV-0008,wardrobe --standing on--> floor,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_5/4_1/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.ply,physically_valid,high,standing_support_consistent,True,codex_blinded_proxy:support_contact_plus_vertical_pose;center_dz_norm=0.2462;bbox_gap_norm=0.0000;xy_overlap_ratio=0.4155;local_vertical_gap_norm=-0.0007;subject_vertical_aspect=0.6795;local_object_points=360,codex_blinded_proxy_v1,2026-07-10T06:52:58.779336+00:00
PV-0009,vase --standing on--> ceiling,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/7747a4ec-9431-24e8-848f-897279a1e9fe_1/70_29/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.ply,physically_invalid,medium,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=-0.3112;bbox_gap_norm=0.3170;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.2176;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.779868+00:00
PV-0010,jar --standing on--> stove,standing on,support_contact,local_dataset/qwen_vl_crops/full_validation/4a9a43d2-7736-2874-874d-d0fad0570e19_2/48_47/pair_view_000.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.ply,physically_invalid,high,contact_or_support_missing,True,codex_blinded_proxy:standing_support_separated;center_dz_norm=0.7055;bbox_gap_norm=0.9010;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.8518;local_object_points=0,codex_blinded_proxy_v1,2026-07-10T06:52:58.781257+00:00
