case_id,evidence_level,route,relations,source_scope,K,delta_recall,delta_recall_ci95,delta_violation,delta_violation_ci95,paper_role,interpretation,control_name,auroc,best_accuracy,status,selected_policy,support_contact_solved_claim_allowed,metric_rerun_allowed_now,main_validated_routes,diagnostic_routes,future_routes,automatic_metric_expansion_allowed
metric_predicate_geometry_comparison_K10_VL-SAT + Open3DSG validation,route_metric_summary,predicate_geometry_comparison,higher/lower + bigger/smaller,VL-SAT + Open3DSG validation,10,0.041950,"[0.023208, 0.062085]",-0.229859,"[-0.239725, -0.220192]",main_validated_compatibility_route,official validation only; source/family caveats remain separate,,,,,,,,,,,
metric_predicate_geometry_comparison_K20_VL-SAT + Open3DSG validation,route_metric_summary,predicate_geometry_comparison,higher/lower + bigger/smaller,VL-SAT + Open3DSG validation,20,0.081633,"[0.048096, 0.118007]",-0.243091,"[-0.251882, -0.235094]",main_validated_compatibility_route,official validation only; source/family caveats remain separate,,,,,,,,,,,
metric_predicate_geometry_comparison_K50_VL-SAT + Open3DSG validation,route_metric_summary,predicate_geometry_comparison,higher/lower + bigger/smaller,VL-SAT + Open3DSG validation,50,0.103175,"[0.068924, 0.140698]",-0.259199,"[-0.266175, -0.252394]",main_validated_compatibility_route,official validation only; source/family caveats remain separate,,,,,,,,,,,
metric_caveated_lateral_compatibility_K10_open3dsg_recovery_relaxed_views_min2,route_metric_summary,caveated_lateral_compatibility,left/right,open3dsg_recovery_relaxed_views_min2,10,0.145299,"[0.1196, 0.1708]",-0.480614,"[-0.4954, -0.4644]",caveated_main_lateral_route,violation-risk reduction with bounded recall tradeoff; not a full relative-horizontal solved claim,,,,,,,,,,,
metric_caveated_lateral_compatibility_K20_open3dsg_recovery_relaxed_views_min2,route_metric_summary,caveated_lateral_compatibility,left/right,open3dsg_recovery_relaxed_views_min2,20,0.269231,"[0.2351, 0.3027]",-0.466279,"[-0.4786, -0.4542]",caveated_main_lateral_route,violation-risk reduction with bounded recall tradeoff; not a full relative-horizontal solved claim,,,,,,,,,,,
metric_caveated_lateral_compatibility_K50_open3dsg_recovery_relaxed_views_min2,route_metric_summary,caveated_lateral_compatibility,left/right,open3dsg_recovery_relaxed_views_min2,50,0.378011,"[0.3354, 0.4192]",-0.367407,"[-0.3821, -0.3509]",caveated_main_lateral_route,violation-risk reduction with bounded recall tradeoff; not a full relative-horizontal solved claim,,,,,,,,,,,
metric_caveated_lateral_compatibility_K10_vlsat_full_validation,route_metric_summary,caveated_lateral_compatibility,left/right,vlsat_full_validation,10,-0.045242,"[-0.0593, -0.0324]",-0.096898,"[-0.1093, -0.0841]",caveated_main_lateral_route,violation-risk reduction with bounded recall tradeoff; not a full relative-horizontal solved claim,,,,,,,,,,,
metric_caveated_lateral_compatibility_K20_vlsat_full_validation,route_metric_summary,caveated_lateral_compatibility,left/right,vlsat_full_validation,20,-0.043491,"[-0.0572, -0.0304]",-0.099909,"[-0.1106, -0.0888]",caveated_main_lateral_route,violation-risk reduction with bounded recall tradeoff; not a full relative-horizontal solved claim,,,,,,,,,,,
metric_caveated_lateral_compatibility_K50_vlsat_full_validation,route_metric_summary,caveated_lateral_compatibility,left/right,vlsat_full_validation,50,-0.021308,"[-0.0329, -0.0116]",-0.124330,"[-0.1338, -0.1161]",caveated_main_lateral_route,violation-risk reduction with bounded recall tradeoff; not a full relative-horizontal solved claim,,,,,,,,,,,
appendix_frame_depth_ambiguity_K20_open3dsg_recovery_relaxed_views_min2,appendix_metric_summary,frame_depth_ambiguity,front/behind,open3dsg_recovery_relaxed_views_min2,20,-0.060345,,-0.457409,,failure_case_appendix,"Violation decreases, but Recall loss is too large for main success.",,,,,,,,,,,
