audit_id,relation,predicate_family,rgb_pair_crop_path,geometry_projection_path,pair_ply_path,proxy_label,proxy_confidence,proxy_reason,verdict,corrected_label,comment,reviewer_id,reviewed_at
PV-0001,vase --standing on--> ceiling,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.ply,physically_invalid,medium,visible pair geometry does not support the stated ceiling contact/support configuration,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0002,fireplace --standing on--> decoration,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0003,floor --lower than--> wall,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0004,pillow --lying on--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0005,telephone --supported by--> heater,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.ply,ambiguous,low,Mandatory evidence-only adjudication confirmed the agreed four-class proxy label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0006,coffee table --close by--> plant,proximity,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0007,lamp --lower than--> toilet paper dispenser,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0008,wardrobe --standing on--> floor,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0009,vase --standing on--> ceiling,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.ply,physically_invalid,medium,visible pair geometry does not support the stated ceiling contact/support configuration,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0010,jar --standing on--> stove,support_contact,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.ply,physically_invalid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0011,item --higher than--> kitchen appliance,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.ply,physically_valid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0012,shower curtain --higher than--> ceiling,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.ply,physically_invalid,high,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
PV-0013,floor --lower than--> pillow,relative_vertical,,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.png,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.ply,physically_valid,medium,Both independently locked Codex blind passes selected the same four-class label.,confirm,,All-row confirmation reported by the study coordinator.,A,2026-07-14T22:49:11+09:00
