audit_id,relation,predicate_family,geometry_projection_path,rgb_pair_crop_path,proxy_label,proxy_confidence,proxy_reason_code,proxy_rule,visible_geometry_cues,human_final_label,human_confidence,human_reason_code,human_notes,reviewer_id,reviewed_at
PV-0001,vase --standing on--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,local_dataset/qwen_vl_crops/full_validation/7747a50c-9431-24e8-877d-e60c3a341cc2_1/70_29/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,standing_support_separated,center_dz_norm=-0.2907;bbox_gap_norm=0.3385;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.1270;local_object_points=0,,,,,,
PV-0002,fireplace --standing on--> decoration,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0002.png,local_dataset/qwen_vl_crops/full_validation/280d8ebb-6cc6-2788-9153-98959a2da801_3/18_53/pair_view_000.png,ambiguous,low,support_configuration_uncertain,standing_contact_or_pose_uncertain,center_dz_norm=-0.5761;bbox_gap_norm=0.0000;xy_overlap_ratio=1.0000;local_vertical_gap_norm=-1.0680;subject_vertical_aspect=1.7004;local_object_points=582,,,,,,
PV-0003,floor --lower than--> wall,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0003.png,local_dataset/qwen_vl_crops/full_validation/d7d40d50-7a5d-2b36-9446-7d636174329f_1/2_5/pair_view_000.png,physically_valid,medium,vertical_order_consistent,directed_center_height_margin_ge_0.18,center_dz_norm=-0.2200;bbox_gap_norm=0.0000;xy_overlap_ratio=0.3475;local_vertical_gap_norm=-0.4568;subject_vertical_aspect=0.0647;local_object_points=733,,,,,,
PV-0004,pillow --lying on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0004.png,local_dataset/qwen_vl_crops/full_validation/10b1792a-3938-2467-8b4e-a93da27a0985_5/37_1/pair_view_000.png,ambiguous,low,pose_subtype_uncertain,lying_contact_or_pose_uncertain,center_dz_norm=0.1733;bbox_gap_norm=0.1148;xy_overlap_ratio=1.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.5621;local_object_points=7,,,,,,
PV-0005,telephone --supported by--> heater,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0005.png,local_dataset/qwen_vl_crops/full_validation/9af05c68-5794-2e19-8c5a-979f448da545_4/43_14/pair_view_000.png,ambiguous,low,support_configuration_uncertain,contact_band_or_footprint_uncertain,center_dz_norm=0.3886;bbox_gap_norm=0.1521;xy_overlap_ratio=1.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.5388;local_object_points=0,,,,,,
PV-0006,coffee table --close by--> plant,proximity,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0006.png,,physically_invalid,high,distance_inconsistent,robust_bbox_gap_norm_ge_1.00,center_dz_norm=-1.8020;bbox_gap_norm=2.1728;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.0190;local_object_points=0,,,,,,
PV-0007,lamp --lower than--> toilet paper dispenser,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0007.png,,physically_invalid,high,vertical_order_inconsistent,directed_center_height_reversed_le_-0.40,center_dz_norm=4.6537;bbox_gap_norm=4.3537;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.4734;local_object_points=0,,,,,,
PV-0008,wardrobe --standing on--> floor,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0008.png,local_dataset/qwen_vl_crops/full_validation/0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_5/4_1/pair_view_000.png,physically_valid,high,standing_support_consistent,support_contact_plus_vertical_pose,center_dz_norm=0.2462;bbox_gap_norm=0.0000;xy_overlap_ratio=0.4155;local_vertical_gap_norm=-0.0007;subject_vertical_aspect=0.6795;local_object_points=360,,,,,,
PV-0009,vase --standing on--> ceiling,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,local_dataset/qwen_vl_crops/full_validation/7747a4ec-9431-24e8-848f-897279a1e9fe_1/70_29/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,standing_support_separated,center_dz_norm=-0.3112;bbox_gap_norm=0.3170;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.2176;local_object_points=0,,,,,,
PV-0010,jar --standing on--> stove,support_contact,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0010.png,local_dataset/qwen_vl_crops/full_validation/4a9a43d2-7736-2874-874d-d0fad0570e19_2/48_47/pair_view_000.png,physically_invalid,high,contact_or_support_missing,standing_support_separated,center_dz_norm=0.7055;bbox_gap_norm=0.9010;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=1.8518;local_object_points=0,,,,,,
PV-0011,item --higher than--> kitchen appliance,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0011.png,,physically_valid,high,vertical_order_consistent,directed_center_height_margin_ge_0.50,center_dz_norm=1.8712;bbox_gap_norm=2.0047;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=3.2367;local_object_points=0,,,,,,
PV-0012,shower curtain --higher than--> ceiling,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0012.png,,physically_invalid,high,vertical_order_inconsistent,directed_center_height_reversed_le_-0.40,center_dz_norm=-1.2668;bbox_gap_norm=0.7242;xy_overlap_ratio=0.0000;local_vertical_gap_norm=-2.0146;subject_vertical_aspect=3.1903;local_object_points=219,,,,,,
PV-0013,floor --lower than--> pillow,relative_vertical,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0013.png,local_dataset/qwen_vl_crops/full_validation/f2c76fe9-2239-29d0-87ec-f2c7ced812c1_1/1_38/pair_view_000.png,physically_valid,medium,vertical_order_consistent,directed_center_height_margin_ge_0.18,center_dz_norm=-0.2316;bbox_gap_norm=0.3313;xy_overlap_ratio=0.0000;local_vertical_gap_norm=None;subject_vertical_aspect=0.0476;local_object_points=0,,,,,,
