audit_id,relation,predicate_family,predicate_label,geometry_projection_path,rgb_pair_crop_path,pass_v1_label,pass_v1_confidence,pass_v1_reason,pass_v2_label,pass_v2_confidence,pass_v2_reason,transition
PV-0001,vase --standing on--> ceiling,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0001.png,local_dataset/qwen_vl_crops/full_validation/7747a50c-9431-24e8-877d-e60c3a341cc2_1/70_29/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,standing_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0009,vase --standing on--> ceiling,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0009.png,local_dataset/qwen_vl_crops/full_validation/7747a4ec-9431-24e8-848f-897279a1e9fe_1/70_29/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,standing_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0019,pillow --standing on--> floor,support_contact,standing on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0019.png,local_dataset/qwen_vl_crops/full_validation/0cac7584-8d6f-2d13-8df8-c05e4307b418_1/57_1/pair_view_000.png,physically_valid,medium,standing_support_consistent,ambiguous,low,standing_pose_or_contact_unclear,physically_valid->ambiguous
PV-0022,cabinet --higher than--> shelf,relative_vertical,higher than,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0022.png,local_dataset/qwen_vl_crops/full_validation/c92fb5b7-f771-2064-87a9-31c819832405_1/12_44/pair_view_000.png,ambiguous,low,vertical_order_near_tie,physically_invalid,medium,moderate_reversed_vertical_order,ambiguous->physically_invalid
PV-0049,box --lying on--> floor,support_contact,lying on,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0049.png,local_dataset/qwen_vl_crops/full_validation/75c25975-9ca2-2844-9769-84677f46d4cf_2/35_1/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,lying_pose_or_contact_unclear,physically_invalid->ambiguous
PV-0058,window --supported by--> floor,support_contact,supported by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0058.png,,physically_invalid,medium,contact_or_support_missing,ambiguous,low,support_surface_or_contact_unclear,physically_invalid->ambiguous
PV-0071,cabinet --close by--> chair,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0071.png,,physically_valid,medium,distance_consistent,ambiguous,low,proximity_requires_scene_context,physically_valid->ambiguous
PV-0072,towel --close by--> shower curtain,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0072.png,,ambiguous,low,distance_context_dependent,physically_invalid,medium,separated_relative_to_pair_scale,ambiguous->physically_invalid
PV-0113,table --close by--> radiator,proximity,close by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0113.png,local_dataset/qwen_vl_crops/full_validation/f2c76feb-2239-29d0-8418-72b6051fc144_4/31_5/pair_view_000.png,ambiguous,low,distance_context_dependent,physically_invalid,medium,separated_relative_to_pair_scale,ambiguous->physically_invalid
PV-0141,chair --supported by--> table lamp,support_contact,supported by,local_dataset/h001_physical_validity_audit/frozen_v1/evidence/PV-0141.png,local_dataset/qwen_vl_crops/full_validation/0988ea72-eb32-2e61-8344-99e2283c2728_2/34_36/pair_view_000.png,physically_invalid,medium,contact_or_support_missing,ambiguous,low,support_surface_or_contact_unclear,physically_invalid->ambiguous
